Output,Accuracy
"['Sky_011.jpg', 'Mountain_129.jpg', 'Eagle_066.jpg', 'Plane_142.jpg', 'Sky_003.jpg', 'Archit_166.jpg', 'Citynight_006.jpg', 'Desert_043.jpg', 'Plane_048.jpg', 'Sunflower_006.jpg', 'Penguin_055.jpg']",0.1
"['Sky_012.jpg', 'Plane_160.jpg', 'Billiardsball_062.jpg', 'Billiardsball_058.jpg', 'Sky_018.jpg', 'Billiardsball_010.jpg', 'Billiardsball_077.jpg', 'Eagle_089.jpg', 'Eagle_154.jpg', 'Plane_020.jpg', 'Billiardsball_030.jpg']",0.1
"['Sky_013.jpg', 'Sky_112.jpg', 'Eagle_025.jpg', 'Eagle_002.jpg', 'Billiardsball_024.jpg', 'Billiardsball_146.jpg', 'Billiardsball_112.jpg', 'Billiardsball_152.jpg', 'Billiardsball_090.jpg', 'Billiardsball_151.jpg', 'Flower_153.jpg']",0.1
"['Sky_014.jpg', 'Surfs_190.jpg', 'Beach_188.jpg', 'Penguin_031.jpg', 'Surfs_012.jpg', 'Surfs_007.jpg', 'Ship_056.jpg', 'Eagle_090.jpg', 'Baseball_135.jpg', 'Plane_122.jpg', 'Sunflower_034.jpg']",0.0
"['Sky_015.jpg', 'Plane_087.jpg', 'Eagle_104.jpg', 'Eagle_153.jpg', 'Billiardsball_010.jpg', 'Plane_156.jpg', 'Billiardsball_030.jpg', 'Eagle_162.jpg', 'Ship_090.jpg', 'Eagle_082.jpg', 'Eagle_053.jpg']",0.0
"['Sky_016.jpg', 'Grass_099.jpg', 'Castle_092.jpg', 'Mountain_189.jpg', 'Plane_041.jpg', 'Sky_080.jpg', 'Plane_088.jpg', 'Model_086.jpg', 'Grass_063.jpg', 'Castle_101.jpg', 'Grass_050.jpg']",0.1
"['Sky_017.jpg', 'Ship_026.jpg', 'Plane_118.jpg', 'Sculpt_173.jpg', 'Mountain_068.jpg', 'Eagle_120.jpg', 'Tiger_159.jpg', 'Mountain_190.jpg', 'Ship_025.jpg', 'Ship_018.jpg', 'Ship_102.jpg']",0.0
"['Sky_018.jpg', 'Plane_160.jpg', 'Sky_012.jpg', 'Billiardsball_062.jpg', 'Billiardsball_077.jpg', 'Billiardsball_010.jpg', 'Plane_161.jpg', 'Billiardsball_058.jpg', 'RacingMotor_030.jpg', 'Plane_018.jpg', 'Eagle_089.jpg']",0.1
"['Sky_019.jpg', 'Eagle_179.jpg', 'Sky_198.jpg', 'Sky_031.jpg', 'Desert_195.jpg', 'Surfs_181.jpg', 'Plane_196.jpg', 'Plane_179.jpg', 'Sky_054.jpg', 'Mountain_082.jpg', 'Sky_034.jpg']",0.4
"['Sky_020.jpg', 'Surfs_103.jpg', 'Surfs_082.jpg', 'Sky_022.jpg', 'Tiger_146.jpg', 'Sunset_153.jpg', 'Eagle_003.jpg', 'Flower_039.jpg', 'Plane_188.jpg', 'Tennis_023.jpg', 'Sunset_163.jpg']",0.1
"['Sky_021.jpg', 'Plane_157.jpg', 'Citynight_007.jpg', 'Archit_184.jpg', 'Citynight_003.jpg', 'Sunset_090.jpg', 'Sunset_171.jpg', 'Masks_188.jpg', 'Sky_153.jpg', 'Citynight_191.jpg', 'Penguin_187.jpg']",0.1
"['Sky_022.jpg', 'SubSea_078.jpg', 'Baseball_016.jpg', 'Castle_071.jpg', 'Sky_117.jpg', 'Billiardsball_109.jpg', 'Dog_066.jpg', 'Billiardsball_130.jpg', 'Sunset_153.jpg', 'Billiardsball_099.jpg', 'RacingMotor_189.jpg']",0.1
"['Sky_023.jpg', 'Plane_161.jpg', 'Penguin_081.jpg', 'Billiardsball_076.jpg', 'Sky_118.jpg', 'Billiardsball_077.jpg', 'Tennis_056.jpg', 'Plane_019.jpg', 'Plane_165.jpg', 'Plane_057.jpg', 'Plane_020.jpg']",0.1
"['Sky_024.jpg', 'Plane_122.jpg', 'Surfs_012.jpg', 'Eagle_018.jpg', 'Sky_032.jpg', 'Eagle_087.jpg', 'Surfs_037.jpg', 'Waterfall_041.jpg', 'Eagle_091.jpg', 'Sunflower_034.jpg', 'Ship_056.jpg']",0.1
"['Sky_025.jpg', 'BWimage_106.jpg', 'Dog_032.jpg', 'Sky_075.jpg', 'Stalactite_196.jpg', 'Sky_183.jpg', 'Soccer_166.jpg', 'Sunflower_112.jpg', 'Waterfall_050.jpg', 'Beach_085.jpg', 'Surfs_085.jpg']",0.2
"['Sky_026.jpg', 'Sky_151.jpg', 'Plane_102.jpg', 'Eagle_164.jpg', 'Plane_050.jpg', 'Eagle_043.jpg', 'Penguin_133.jpg', 'Plane_045.jpg', 'Eagle_082.jpg', 'DeerAntelope_024.jpg', 'Penguin_048.jpg']",0.1
"['Sky_027.jpg', 'Beach_114.jpg', 'Beach_194.jpg', 'SubSea_200.jpg', 'Sky_136.jpg', 'DeerAntelope_156.jpg', 'Castle_062.jpg', 'SubSea_061.jpg', 'Sunset_078.jpg', 'Desert_045.jpg', 'Surfs_038.jpg']",0.1
"['Sky_028.jpg', 'Castle_062.jpg', 'Surfs_040.jpg', 'SubSea_049.jpg', 'Sky_114.jpg', 'Eagle_131.jpg', 'SubSea_200.jpg', 'Sky_055.jpg', 'Sky_129.jpg', 'Beach_114.jpg', 'Eagle_110.jpg']",0.3
"['Sky_029.jpg', 'Sky_122.jpg', 'Sky_133.jpg', 'Sky_092.jpg', 'Sky_082.jpg', 'Billiardsball_070.jpg', 'Cartoon_077.jpg', 'Sky_076.jpg', 'Soccer_027.jpg', 'Sky_109.jpg', 'Castle_012.jpg']",0.6
"['Sky_030.jpg', 'Surfs_040.jpg', 'Sky_159.jpg', 'Sky_167.jpg', 'Sky_055.jpg', 'Sky_130.jpg', 'Plane_047.jpg', 'Plane_159.jpg', 'Eagle_181.jpg', 'Ship_084.jpg', 'Sky_112.jpg']",0.5
"['Sky_031.jpg', 'Sky_198.jpg', 'Sky_019.jpg', 'Surfs_181.jpg', 'Desert_195.jpg', 'Plane_108.jpg', 'Eagle_179.jpg', 'Plane_168.jpg', 'Plane_166.jpg', 'Mountain_062.jpg', 'Sky_008.jpg']",0.3
"['Sky_032.jpg', 'Sky_024.jpg', 'Plane_122.jpg', 'Sunflower_034.jpg', 'Plane_136.jpg', 'Sky_014.jpg', 'Ship_056.jpg', 'Beach_188.jpg', 'Surfs_012.jpg', 'Surfs_037.jpg', 'Eagle_087.jpg']",0.2
"['Sky_033.jpg', 'SubSea_020.jpg', 'Sunset_057.jpg', 'Sculpt_097.jpg', 'Eagle_069.jpg', 'Castle_062.jpg', 'Sunset_102.jpg', 'Planet_178.jpg', 'SubSea_061.jpg', 'Sunset_115.jpg', 'Eagle_131.jpg']",0.0
"['Sky_034.jpg', 'Eagle_146.jpg', 'Plane_015.jpg', 'Eagle_115.jpg', 'Plane_121.jpg', 'Plane_021.jpg', 'Eagle_147.jpg', 'Plane_187.jpg', 'Eagle_195.jpg', 'Sky_177.jpg', 'Plane_180.jpg']",0.1
"['Sky_035.jpg', 'Sky_145.jpg', 'Sky_048.jpg', 'Sky_154.jpg', 'Sky_149.jpg', 'Eagle_156.jpg', 'Sunset_044.jpg', 'Sky_102.jpg', 'Owls_135.jpg', 'Sky_023.jpg', 'Sky_040.jpg']",0.7
"['Sky_036.jpg', 'Sculpt_174.jpg', 'Indoor_163.jpg', 'Model_195.jpg', 'Castle_097.jpg', 'Beach_083.jpg', 'Eagle_057.jpg', 'Model_012.jpg', 'Satelliteimage_120.jpg', 'Dog_178.jpg', 'Plane_070.jpg']",0.0
"['Sky_037.jpg', 'Plane_116.jpg', 'Sky_141.jpg', 'Car_034.jpg', 'Waterfall_153.jpg', 'Sky_052.jpg', 'Sky_147.jpg', 'Ship_017.jpg', 'Plane_055.jpg', 'Sky_047.jpg', 'Sky_010.jpg']",0.5
"['Sky_038.jpg', 'Car_164.jpg', 'Desert_045.jpg', 'Billiardsball_022.jpg', 'Surfs_182.jpg', 'ClassicalPainting_009.jpg', 'Surfs_089.jpg', 'RacingMotor_182.jpg', 'RacingMotor_149.jpg', 'Sky_069.jpg', 'RacingMotor_128.jpg']",0.1
"['Sky_039.jpg', 'Sky_094.jpg', 'Sculpt_019.jpg', 'Archit_002.jpg', 'Sky_001.jpg', 'Sky_159.jpg', 'Eagle_062.jpg', 'Baseball_078.jpg', 'Sky_050.jpg', 'Surfs_099.jpg', 'Dog_105.jpg']",0.4
"['Sky_040.jpg', 'Penguin_081.jpg', 'SubSea_069.jpg', 'Sky_009.jpg', 'Sky_149.jpg', 'Baseball_126.jpg', 'Owls_190.jpg', 'Plane_193.jpg', 'Sky_102.jpg', 'Penguin_064.jpg', 'Sky_023.jpg']",0.4
"['Sky_041.jpg', 'Sky_142.jpg', 'Sky_144.jpg', 'Sky_150.jpg', 'Sky_042.jpg', 'Eagle_033.jpg', 'Eagle_071.jpg', 'Car_113.jpg', 'Sky_126.jpg', 'Eagle_143.jpg', 'Mountain_045.jpg']",0.5
"['Sky_042.jpg', 'Sky_144.jpg', 'Sky_142.jpg', 'Sky_041.jpg', 'Eagle_143.jpg', 'Sky_150.jpg', 'Sky_126.jpg', 'Eagle_127.jpg', 'Eagle_184.jpg', 'Eagle_147.jpg', 'Eagle_200.jpg']",0.5
"['Sky_043.jpg', 'Sky_131.jpg', 'Surfs_089.jpg', 'Sky_122.jpg', 'Sky_176.jpg', 'Archit_162.jpg', 'Sky_096.jpg', 'Sky_109.jpg', 'Sky_133.jpg', 'Sky_057.jpg', 'Flower_109.jpg']",0.7
"['Sky_044.jpg', 'Sky_143.jpg', 'Sky_140.jpg', 'Sky_175.jpg', 'Sky_176.jpg', 'SubSea_026.jpg', 'Sky_191.jpg', 'Sky_057.jpg', 'Sky_163.jpg', 'Desert_150.jpg', 'Sky_192.jpg']",0.8
"['Sky_045.jpg', 'Satelliteimage_035.jpg', 'Sculpt_100.jpg', 'Satelliteimage_003.jpg', 'Plane_084.jpg', 'Sculpt_011.jpg', 'Plane_069.jpg', 'Castle_011.jpg', 'Penguin_169.jpg', 'Dog_170.jpg', 'Sky_105.jpg']",0.1
"['Sky_046.jpg', 'Sky_148.jpg', 'Sky_179.jpg', 'Sky_165.jpg', 'Sky_113.jpg', 'Sculpt_101.jpg', 'Eagle_073.jpg', 'Surfs_161.jpg', 'Pumpkin_001.jpg', 'Eagle_141.jpg', 'Sky_164.jpg']",0.5
"['Sky_047.jpg', 'Sky_147.jpg', 'Sky_053.jpg', 'Eagle_129.jpg', 'Car_020.jpg', 'Ship_188.jpg', 'RacingMotor_145.jpg', 'Penguin_165.jpg', 'Plane_116.jpg', 'Tiger_149.jpg', 'Sky_141.jpg']",0.3
"['Sky_048.jpg', 'Surfs_053.jpg', 'Sky_149.jpg', 'Eagle_156.jpg', 'Sunset_085.jpg', 'Sky_154.jpg', 'SubSea_151.jpg', 'Sky_145.jpg', 'Sky_035.jpg', 'Sunset_043.jpg', 'Planet_146.jpg']",0.4
"['Sky_049.jpg', 'Sky_125.jpg', 'Sky_094.jpg', 'Sunset_057.jpg', 'Eagle_038.jpg', 'Eagle_027.jpg', 'Billiardsball_179.jpg', 'Eagle_023.jpg', 'Sky_033.jpg', 'Plane_064.jpg', 'Sunflower_191.jpg']",0.3
"['Sky_050.jpg', 'Surfs_099.jpg', 'Eagle_039.jpg', 'Sculpt_019.jpg', 'Sky_039.jpg', 'DeerAntelope_195.jpg', 'Plane_064.jpg', 'Eagle_023.jpg', 'Eagle_062.jpg', 'Eagle_060.jpg', 'Car_185.jpg']",0.1
"['Sky_051.jpg', 'Eagle_061.jpg', 'Plane_058.jpg', 'Sky_001.jpg', 'Baseball_060.jpg', 'Sky_180.jpg', 'Sky_019.jpg', 'Billiardsball_141.jpg', 'Billiardsball_084.jpg', 'Surfs_126.jpg', 'Dog_074.jpg']",0.3
"['Sky_052.jpg', 'Sky_150.jpg', 'Sky_141.jpg', 'Sky_010.jpg', 'Plane_055.jpg', 'Elephant_100.jpg', 'Elephant_109.jpg', 'Ship_188.jpg', 'Sky_126.jpg', 'Surfs_131.jpg', 'Tiger_075.jpg']",0.4
"['Sky_053.jpg', 'Sky_147.jpg', 'Sky_047.jpg', 'Eagle_160.jpg', 'Car_020.jpg', 'RacingMotor_145.jpg', 'Penguin_156.jpg', 'Sky_188.jpg', 'Ship_188.jpg', 'Surfs_171.jpg', 'Eagle_129.jpg']",0.3
"['Sky_054.jpg', 'Beach_012.jpg', 'Sky_019.jpg', 'Plane_049.jpg', 'Sculpt_075.jpg', 'Dog_158.jpg', 'Plane_083.jpg', 'Mountain_082.jpg', 'Surfs_096.jpg', 'Desert_090.jpg', 'Beach_049.jpg']",0.1
"['Sky_055.jpg', 'Sky_114.jpg', 'Sky_028.jpg', 'Volleyball_145.jpg', 'Plane_047.jpg', 'DeerAntelope_065.jpg', 'Sky_167.jpg', 'SubSea_009.jpg', 'Sunset_133.jpg', 'SubSea_049.jpg', 'Archit_145.jpg']",0.3
"['Sky_056.jpg', 'Beach_199.jpg', 'Penguin_097.jpg', 'F1_090.jpg', 'Penguin_106.jpg', 'Grass_196.jpg', 'Mountain_195.jpg', 'Sunflower_092.jpg', 'F1_191.jpg', 'F1_048.jpg', 'Beach_063.jpg']",0.0
"['Sky_057.jpg', 'Sky_200.jpg', 'Sky_074.jpg', 'Surfs_028.jpg', 'Sky_070.jpg', 'Penguin_014.jpg', 'Mountain_099.jpg', 'Beach_083.jpg', 'Mountain_080.jpg', 'Sky_044.jpg', 'Sky_191.jpg']",0.5
"['Sky_058.jpg', 'Penguin_126.jpg', 'SubSea_148.jpg', 'SubSea_027.jpg', 'Surfs_184.jpg', 'Flower_111.jpg', 'Pumpkin_061.jpg', 'Flower_023.jpg', 'Penguin_169.jpg', 'Penguin_128.jpg', 'DeerAntelope_048.jpg']",0.0
"['Sky_059.jpg', 'Archit_145.jpg', 'Plane_064.jpg', 'Cartoon_003.jpg', 'Eagle_049.jpg', 'Eagle_056.jpg', 'Eagle_027.jpg', 'Sky_110.jpg', 'Eagle_023.jpg', 'Sunset_053.jpg', 'Lion_143.jpg']",0.1
"['Sky_060.jpg', 'Mountain_057.jpg', 'Ship_030.jpg', 'Plane_048.jpg', 'Beach_104.jpg', 'Sky_170.jpg', 'Basketball_131.jpg', 'Beach_194.jpg', 'Sky_188.jpg', 'RacingMotor_008.jpg', 'Sunset_121.jpg']",0.2
"['Sky_061.jpg', 'Sky_089.jpg', 'Sky_161.jpg', 'Sky_152.jpg', 'Doors_150.jpg', 'RacingMotor_025.jpg', 'Penguin_014.jpg', 'Grass_125.jpg', 'Beach_128.jpg', 'Pumpkin_019.jpg', 'Soccer_153.jpg']",0.3
"['Sky_062.jpg', 'Sky_107.jpg', 'Citynight_105.jpg', 'Plane_069.jpg', 'Beach_107.jpg', 'Sky_071.jpg', 'Penguin_173.jpg', 'Penguin_013.jpg', 'Dog_118.jpg', 'BWimage_174.jpg', 'Feasts_041.jpg']",0.2
"['Sky_063.jpg', 'Planet_116.jpg', 'Car_182.jpg', 'Sunset_127.jpg', 'Sky_136.jpg', 'SubSea_061.jpg', 'Sunset_108.jpg', 'Owls_145.jpg', 'SubSea_070.jpg', 'Castle_062.jpg', 'SubSea_200.jpg']",0.1
"['Sky_064.jpg', 'Sky_088.jpg', 'Eagle_037.jpg', 'Sky_067.jpg', 'Sky_133.jpg', 'ClassicalPainting_059.jpg', 'Doors_191.jpg', 'Lion_014.jpg', 'RacingMotor_108.jpg', 'Sky_080.jpg', 'Car_070.jpg']",0.4
"['Sky_065.jpg', 'Planet_178.jpg', 'Planet_111.jpg', 'Car_182.jpg', 'Planet_033.jpg', 'Sky_033.jpg', 'Planet_074.jpg', 'Masks_004.jpg', 'Planet_072.jpg', 'Planet_052.jpg', 'Owls_188.jpg']",0.1
"['Sky_066.jpg', 'Group_032.jpg', 'Plane_025.jpg', 'Desert_189.jpg', 'Ship_049.jpg', 'Ship_156.jpg', 'Ship_135.jpg', 'Ship_195.jpg', 'Model_156.jpg', 'Group_123.jpg', 'SubSea_048.jpg']",0.0
"['Sky_067.jpg', 'Sky_096.jpg', 'Sky_088.jpg', 'RacingMotor_103.jpg', 'Surfs_089.jpg', 'Sky_168.jpg', 'Beach_177.jpg', 'Sky_064.jpg', 'Cartoon_180.jpg', 'ClassicalPainting_043.jpg', 'Surfs_061.jpg']",0.4
"['Sky_068.jpg', 'Eagle_009.jpg', 'F1_122.jpg', 'Penguin_068.jpg', 'Ship_107.jpg', 'Dog_035.jpg', 'Ship_186.jpg', 'Ship_088.jpg', 'F1_041.jpg', 'RacingMotor_065.jpg', 'Sky_111.jpg']",0.1
"['Sky_069.jpg', 'Beach_104.jpg', 'SubSea_012.jpg', 'Surfs_182.jpg', 'Archit_165.jpg', 'Sculpt_088.jpg', 'Eagle_064.jpg', 'Sky_170.jpg', 'Mountain_028.jpg', 'Plane_164.jpg', 'Surfs_038.jpg']",0.1
"['Sky_070.jpg', 'Sky_057.jpg', 'Tiger_120.jpg', 'Sky_074.jpg', 'SubSea_026.jpg', 'Penguin_014.jpg', 'Penguin_158.jpg', 'Penguin_084.jpg', 'Mountain_099.jpg', 'Sky_044.jpg', 'Surfs_085.jpg']",0.3
"['Sky_071.jpg', 'Citynight_105.jpg', 'SubSea_037.jpg', 'Citynight_044.jpg', 'Sky_091.jpg', 'Sky_090.jpg', 'Sunset_099.jpg', 'Waterfall_155.jpg', 'Lion_011.jpg', 'Surfs_014.jpg', 'Sky_107.jpg']",0.3
"['Sky_072.jpg', 'Eagle_041.jpg', 'Eagle_014.jpg', 'Sky_182.jpg', 'Castle_119.jpg', 'Sky_124.jpg', 'Waterfall_159.jpg', 'Archit_003.jpg', 'Penguin_027.jpg', 'Plane_115.jpg', 'Sky_108.jpg']",0.3
"['Sky_073.jpg', 'Surfs_181.jpg', 'Ship_005.jpg', 'Sky_198.jpg', 'Ship_095.jpg', 'Sky_177.jpg', 'Eagle_179.jpg', 'Castle_006.jpg', 'Eagle_043.jpg', 'Eagle_136.jpg', 'Sunset_130.jpg']",0.2
"['Sky_074.jpg', 'Sky_200.jpg', 'Penguin_014.jpg', 'Sky_090.jpg', 'RacingMotor_121.jpg', 'Sky_057.jpg', 'Mountain_080.jpg', 'RacingMotor_118.jpg', 'Surfs_028.jpg', 'Dog_123.jpg', 'Sky_107.jpg']",0.4
"['Sky_075.jpg', 'Beach_085.jpg', 'Sky_025.jpg', 'Sky_183.jpg', 'Dog_123.jpg', 'Sculpt_100.jpg', 'Dog_196.jpg', 'Citynight_151.jpg', 'Satelliteimage_003.jpg', 'Dog_144.jpg', 'Penguin_007.jpg']",0.2
"['Sky_076.jpg', 'Sky_086.jpg', 'Sky_122.jpg', 'Sky_082.jpg', 'Tiger_014.jpg', 'Sky_107.jpg', 'Sky_133.jpg', 'Castle_012.jpg', 'Sky_080.jpg', 'Sunset_099.jpg', 'Penguin_014.jpg']",0.6
"['Sky_077.jpg', 'Mountain_046.jpg', 'SubSea_133.jpg', 'Grass_103.jpg', 'ClassicalPainting_106.jpg', 'SubSea_068.jpg', 'Dog_179.jpg', 'Plane_001.jpg', 'Sky_080.jpg', 'DeerAntelope_127.jpg', 'Tiger_179.jpg']",0.1
"['Sky_078.jpg', 'SubSea_069.jpg', 'Billiardsball_190.jpg', 'Plane_193.jpg', 'Sunset_044.jpg', 'Sunset_014.jpg', 'Plane_019.jpg', 'Model_004.jpg', 'RacingMotor_050.jpg', 'Tennis_013.jpg', 'Billiardsball_082.jpg']",0.0
"['Sky_079.jpg', 'Sunset_015.jpg', 'SubSea_138.jpg', 'Beach_097.jpg', 'Owls_093.jpg', 'Eagle_061.jpg', 'Sunset_186.jpg', 'Eagle_008.jpg', 'Sky_032.jpg', 'Surfs_105.jpg', 'Eagle_069.jpg']",0.1
"['Sky_080.jpg', 'Plane_039.jpg', 'Sky_199.jpg', 'Model_086.jpg', 'Sunset_099.jpg', 'F1_127.jpg', 'F1_118.jpg', 'DeerAntelope_127.jpg', 'Sky_016.jpg', 'Citynight_133.jpg', 'Sky_090.jpg']",0.3
"['Sky_081.jpg', 'ClassicalPainting_073.jpg', 'Sky_112.jpg', 'Sunset_139.jpg', 'Sky_119.jpg', 'Sunset_107.jpg', 'Basketball_033.jpg', 'Billiardsball_109.jpg', 'ClassicalPainting_078.jpg', 'Owls_036.jpg', 'Sky_115.jpg']",0.3
"['Sky_082.jpg', 'Sky_133.jpg', 'RacingMotor_103.jpg', 'Sky_076.jpg', 'RacingMotor_108.jpg', 'Sky_064.jpg', 'Beach_177.jpg', 'Castle_012.jpg', 'Eagle_006.jpg', 'Sunset_009.jpg', 'Sky_122.jpg']",0.4
"['Sky_083.jpg', 'Sky_108.jpg', 'Sky_186.jpg', 'DeerAntelope_169.jpg', 'Sky_092.jpg', 'Sunset_034.jpg', 'Eagle_064.jpg', 'DeerAntelope_144.jpg', 'Eagle_014.jpg', 'Ship_195.jpg', 'Mountain_014.jpg']",0.3
"['Sky_084.jpg', 'Sky_109.jpg', 'Archit_165.jpg', 'RacingMotor_024.jpg', 'Lion_107.jpg', 'Basketball_008.jpg', 'Lion_132.jpg', 'Eagle_006.jpg', 'Mountain_116.jpg', 'Mountain_027.jpg', 'Lion_055.jpg']",0.1
"['Sky_085.jpg', 'Eagle_044.jpg', 'Sunflower_092.jpg', 'Surfs_056.jpg', 'ClassicalPainting_079.jpg', 'Beach_128.jpg', 'RacingMotor_128.jpg', 'F1_107.jpg', 'F1_048.jpg', 'Sunset_060.jpg', 'Sunset_021.jpg']",0.0
"['Sky_086.jpg', 'Tiger_014.jpg', 'Baseball_139.jpg', 'Sky_076.jpg', 'RacingMotor_185.jpg', 'RacingMotor_182.jpg', 'RacingMotor_024.jpg', 'RacingMotor_149.jpg', 'Basketball_012.jpg', 'DeerAntelope_126.jpg', 'Castle_012.jpg']",0.1
"['Sky_087.jpg', 'Archit_025.jpg', 'Owls_121.jpg', 'Sculpt_157.jpg', 'Dog_060.jpg', 'Dog_149.jpg', 'Waterfall_028.jpg', 'Model_015.jpg', 'Elephant_123.jpg', 'Model_160.jpg', 'Dog_040.jpg']",0.0
"['Sky_088.jpg', 'Sky_064.jpg', 'Sky_067.jpg', 'Sky_199.jpg', 'Sky_168.jpg', 'Castle_012.jpg', 'Sky_080.jpg', 'Sky_133.jpg', 'Mountain_099.jpg', 'Doors_191.jpg', 'Waterfall_177.jpg']",0.6
"['Sky_089.jpg', 'Sky_061.jpg', 'RacingMotor_096.jpg', 'Beach_036.jpg', 'Cartoon_024.jpg', 'Surfs_065.jpg', 'Baseball_061.jpg', 'SubSea_012.jpg', 'RacingMotor_025.jpg', 'Eagle_001.jpg', 'Surfs_021.jpg']",0.1
"['Sky_090.jpg', 'Penguin_014.jpg', 'Sky_171.jpg', 'Sky_074.jpg', 'Sky_107.jpg', 'Beach_145.jpg', 'DeerAntelope_110.jpg', 'Surfs_186.jpg', 'Sky_071.jpg', 'Sky_161.jpg', 'Waterfall_177.jpg']",0.5
"['Sky_091.jpg', 'SubSea_096.jpg', 'Indoor_108.jpg', 'Sky_071.jpg', 'Soccer_185.jpg', 'Ship_067.jpg', 'Lion_167.jpg', 'Group_166.jpg', 'Sculpt_100.jpg', 'Penguin_169.jpg', 'Dog_150.jpg']",0.1
"['Sky_092.jpg', 'Sky_108.jpg', 'Sky_186.jpg', 'Surfs_032.jpg', 'Sunset_052.jpg', 'Sky_083.jpg', 'Sky_124.jpg', 'Dog_145.jpg', 'Flower_173.jpg', 'DeerAntelope_020.jpg', 'Sky_057.jpg']",0.5
"['Sky_093.jpg', 'Dog_045.jpg', 'Masks_187.jpg', 'Pumpkin_166.jpg', 'Masks_194.jpg', 'Dog_126.jpg', 'Pumpkin_030.jpg', 'Dog_018.jpg', 'Billiardsball_164.jpg', 'Owls_134.jpg', 'BWimage_150.jpg']",0.0
"['Sky_094.jpg', 'Sky_039.jpg', 'Sky_125.jpg', 'Sky_049.jpg', 'Dog_093.jpg', 'Cartoon_019.jpg', 'Baseball_174.jpg', 'Sky_001.jpg', 'Cartoon_154.jpg', 'Billiardsball_179.jpg', 'Sky_059.jpg']",0.5
"['Sky_095.jpg', 'Model_103.jpg', 'Doors_103.jpg', 'Pumpkin_034.jpg', 'Castle_019.jpg', 'Car_127.jpg', 'Doors_037.jpg', 'Dog_062.jpg', 'Beach_200.jpg', 'Model_033.jpg', 'Doors_010.jpg']",0.0
"['Sky_096.jpg', 'Sky_067.jpg', 'Surfs_089.jpg', 'RacingMotor_103.jpg', 'Cartoon_180.jpg', 'Sunset_112.jpg', 'Sky_168.jpg', 'Flower_109.jpg', 'Castle_012.jpg', 'Dog_192.jpg', 'Sky_131.jpg']",0.3
"['Sky_097.jpg', 'Mountain_098.jpg', 'Desert_024.jpg', 'Dog_008.jpg', 'Dog_143.jpg', 'Penguin_066.jpg', 'SubSea_118.jpg', 'Lion_104.jpg', 'Penguin_146.jpg', 'Grass_093.jpg', 'Desert_182.jpg']",0.0
